danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,genre,song_name
0.725,0.578,10,-8.311,0,0.0864,0.0259,0.000117,0.387,0.0595,129.961,6NGpZZYR8pzj7jo6oc2icJ,133068,4,Dark Trap,Terry McGinnis
0.63,0.8759999999999999,10,-4.871,0,0.1889999999999999,0.0166,0.0,0.223,0.256,210.134,3YmPKPB5B6bfCZYgF0wmiq,150831,4,Dark Trap,Gremlin
0.7040000000000001,0.838,11,-4.042,1,0.29,0.0854,0.0,0.102,0.348,119.866,7l6Wb98Dnxb5n1ufADNHLa,218201,4,Dark Trap,Giant Squit
0.735,0.8109999999999999,0,-3.735,1,0.0601,0.11,0.1639999999999999,0.528,0.42,207.852,1ojp0kfnXyRvr5cemuU0qD,100807,4,Dark Trap,You Are Not Like Us
0.8640000000000001,0.727,10,-5.996,1,0.1,0.0229,0.0,0.295,0.599,119.987,01gihn8zKrwsafKnD3UGDz,159242,4,Dark Trap,Arachnids
0.48,0.984,3,-0.726,1,0.264,0.0484,0.0,0.472,0.3929999999999999,139.958,5WY9OTNkgX1Sd1WluZL77F,92918,4,Dark Trap,Give Ah Fuck
0.726,0.823,1,-4.666,1,0.115,0.0035299999999999,0.0,0.7070000000000001,0.156,129.99200000000002,6xPjbdiUqIqM3uD1B0JA1o,110793,4,Dark Trap,Death Wish
0.755,0.765,10,-7.256,0,0.288,0.0272,0.0,0.565,0.401,219.89,5X5Kd4ULRLE5Rd7p8tmahp,144018,4,Dark Trap,Allergies
0.8809999999999999,0.445,1,-9.83,1,0.107,0.00209,0.0647,0.114,0.0379,124.972,11eVByVk8tL0JSBFlvan5i,138240,4,Dark Trap,Cut Throat
0.8490000000000001,0.98,1,-0.964,1,0.0575,0.254,0.000787,0.551,0.295,219.988,21cGO6AxAJJDTV7Po9ywZa,122182,4,Dark Trap,Memoirs of a Gorilla
0.602,0.762,2,-6.149,0,0.0347,0.0498,0.00819,0.121,0.1119999999999999,184.04,1Xy9svIXQU6euAlGi7uutt,159987,4,Dark Trap,Benz Truck (гелик)
0.924,0.5429999999999999,7,-6.612,1,0.0854,0.432,7.32e-05,0.11,0.104,199.99400000000003,7ksRhRXztNfSwm8W7uFq1f,183159,4,Dark Trap,Norf Norf
0.919,0.493,1,-8.81,1,0.0613,0.14,1.62e-06,0.122,0.159,216.152,6IkCht32pbDskKd8NWzWBF,126768,4,Dark Trap,Dat $tick
0.848,0.6629999999999999,8,-5.606,0,0.245,0.523,0.0,0.108,0.3329999999999999,133.993,6kl1qtQXQsFiIWRBK24Cfp,255413,4,Dark Trap,"RAF (feat. A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean)"
0.475,0.7879999999999999,10,-4.851,0,0.342,0.231,0.0,0.128,0.26,206.056,5Uj6Zy5QoGdEZob7xRUakV,237101,4,Dark Trap,Crazy
0.762,0.41,8,-11.979,1,0.0551,0.278,3.43e-05,0.157,0.0813,200.094,6oBL8TdQHEO7jeEdqECg37,271404,4,Dark Trap,Still Cold / Pathway Private
0.789,0.623,6,-8.337,0,0.138,0.242,0.0,0.0835,0.6779999999999999,203.982,3RAMLlYnwk3CObaU4V4RBx,151629,4,Dark Trap,The Chills
